,STA302 hours (W1),COVID hours (W1),Country,Quiz_1_score,STA302 hours (W2),COVID hours (W2),Quiz_2_score,STA302 hours (W3),COVID hours (W3),Quiz_3_score,STA302 hours (W4),COVID hours (W4),Quiz_4_score
91,9,1,Canada,5,10,1,NA,NA,NA,NA,NA,NA,NA
92,12,2,Canada,6,15,3,5.2,18,3,7,28,3,5
93,10,7,Pakistan,6,13,22,7.8,19,13,5,25,19,7
94,8,2,Canada,9,10,3,8.8,9,2,6,10,3,4
95,11,2,China,6,12,1.5,9.4,NA,NA,4,12,6,4
96,5,1,China,5,7,1,5.8,8.5,1,8,NA,NA,6
97,8.5,3.5,Canada,9,6,2,1.6,4,4,8,20,1.5,8
98,7,30,Canada,9,12,40,2.8,NA,NA,9,16,40,9
99,10,2,Canada,9,9,1,1.6,10,1,8,9,1,8
100,1.5,0,China,2,NA,NA,7.8,3,2,8,3,1,6
101,7,2.5,China,9,6,0,8.8,5,2,9,10,5,8
102,8,1,China,4,9,0.5,NA,8,1,NA,NA,NA,NA
103,12,2.5,Canada,10,13,1,9.4,17,3,5,15,2,7
104,8,3,Canada,8,7,5,9.4,12,4,4,13,5,7
105,6,0.1,China,5,9,0,9,8,1,9,14,1,10
106,3,2,Canada,9,5,1,8.8,5,0.5,5,7,1,8
107,7,1,Canada,10,8,1,5.8,8,1,10,10,1,8
108,8,2,China,3,10,4,4.8,12,5,5,10,4,3
109,9,1.5,China,8,8,1,8.4,10,1,6,15,1.5,7
110,7,0,China,10,8,1.75,9.4,10,2,10,20,4,9
111,6,0.2,Canada,8,6,0.5,4.2,6,2,3,14,0.5,6
112,10,2,China,7,10,0.5,9.4,7,1.5,7,8,1.5,5
113,6,3,china,9,8,2,NA,7,1,8,NA,NA,10
114,6.5,0.5,Canada,10,7,0.5,8.8,7,0.5,9,9,0.5,7
115,2.5,2,Canada,8,2.5,2,9,4,2.5,4,5,3,7
116,6,3,Canada,7,7,4,9.4,5,3,5,15,2,5
117,9,3,Canada,7,7,1,NA,9,1,6,20,1,5
118,8,1,China,9,10,2,10,10,1,9,16,5,10
119,10,6,China,10,12,6,10,11,5,10,14,7,9
120,10,1,Canada,6,10,3,NA,12,1,NA,NA,NA,NA
121,2,8,Canada,3,NA,NA,1.2,5,1,8,6,1,7
122,3,3,China,8,4,1,10,5,1,10,5,2,8
123,10,2,China,6,14,2,8.2,14,2,8,24,2,10
124,7,1,Taiwan,6,8,1,8.8,7,0.5,8,7.5 hours,0.5 hour,7
125,3,7,China,10,NA,NA,9.4,10,4,9,21,10,9
126,8,2,Canada,6,10,1,5.8,10,0.5,4,23,0.5,5
127,12,1,China,9,8,0,8.8,10,2,9,9,1,9
128,6,1,China,7,5,0.5,8.2,8,0.5,9,18,0.5,10
129,2.5,1,China,8,2,1,8.2,4,2,10,10,1,8
130,10,1,Canada,7,7,0.5,9.4,8,1,6,16,1,6
131,3,0,China,6,3.5,0.333,10,NA,NA,9,20,1,10
132,10,1,China,6,10,1,2.2,10,1,9,7,1,NA
133,3,2,Canada,NA,2,2,NA,NA,NA,NA,NA,NA,NA
134,6,2,China,6,6,2,9.4,5,0,7,25,2,7
135,2,0.5,China,4,3,0.167,4.2,5,0.5,10,4,0.5,10
136,6,1,China,9,13,2,7.8,19,2,5,19,4,6
137,8,168,canada,10,6,40,9.4,6,20,9,20,12,8
138,7,1,China,8,6.5,1.5,9.4,6,1,NA,6.5,2,9
139,5,1,China,5,5,1,3.6,3,0.5,6,10,2,6
140,9,1,Canada,8,8,30,1.8,15,10,5,50,1,5
141,19,0.75,Canada,7,16.5,0.167,8.8,23.5,0.0833,9,28,0.83,5
142,3,2,Canada,10,5.5,2,10,4,1,8,3,1,10
143,10,10,Japan,NA,6,3,2.8,10,4,2,20,3,9
144,12,1,Canada,8,12,1,5.8,12,1,4,18,2,4
145,4,15,Canada,7,2,2,NA,2,1,5,5,5,7
146,2.5,3.5,China,8,5,3.5,4.2,13.5,4.5,8,18,4,10
147,28,4,Canada,6,19,2,5.8,24,1,7,37,3,6
148,13,7,Taiwan,5,10,3,NA,10,5,NA,NA,NA,NA
149,9,1,canada,9,8,1,5.4,12,2,9,15,1,8
150,5,0,Canada,8,4,0,10,7,4,8,7,3,7
151,8,2,Canada,8,8,1,9.4,6,2,8,10,2,8
152,12,2,Canada,10,10,3,9.4,20,7,5,9,2,8
153,0.5,2,Canada,10,1,0.5,9.4,1.5,0.5,9,2,0.5,8
154,24,6,Canada,8,12,6,10,16,3,7,19,4,4
155,5,0,Canada,10,15,0,4.8,14,0,9,15,0,10
156,5,1,Canada,10,4,0.5,4.8,4,0,9,5,0.5,10
157,9,2,Canada,8,13,2,8.4,11,1,7,10,3,8
158,10,1,Canada,10,8.5,2,9.4,10,2,4,12,2,7
159,16,2,Canada,10,17,1,10,17,0.5,9,25,1,10
160,10,0.5,Canada,7,14,0.5,6.4,15,0.25,9,20,1,7
161,8,1.5,Canada,9,8,1,7.2,9,1,6,9,1,5
162,5,2,Canada,9,12,3,2.8,15,2,5,30,1,6
163,5,12,Canada,10,6,10,9.4,20,8,9,10,20,7
164,6,0,Canada,10,3,0.5,9.4,16,0,9,16,0,8
165,4,1,Canada,7,10,1,4.2,9,1,5,12,1,5
166,6,2,Canada,7,5,2,10,8,1,9,10,1,10
167,8,1,China,10,10,1,8.8,9,1,9,10,1,7
168,7,0.5,China,10,6.5,0.3,NA,NA,NA,NA,NA,NA,NA
